                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8057,                  5.063,                 4.0469,                0.00031,                0.09662,                 0.0002,                  7e-05,                 3.5618,                 6.3286,                 4.0951,             0.00065778,             0.00065778,             0.00065778
                      1,                 3.4242,                 4.4575,                 3.4234,                0.01617,                0.03865,                0.00449,                0.00121,                 3.1406,                 22.274,                 3.2163,              0.0013113,              0.0013113,              0.0013113
                      2,                 3.1135,                 3.8456,                 2.9645,                0.07544,                0.09903,                0.02119,                0.00541,                 3.0569,                 24.885,                 3.0625,              0.0019517,              0.0019517,              0.0019517
                      3,                 2.8095,                 3.4087,                 2.7073,                0.17158,                0.22947,                0.11777,                0.03471,                 2.4911,                 9.7617,                 2.6248,              0.0019406,              0.0019406,              0.0019406
                      4,                 2.6077,                 2.9763,                  2.529,                0.32047,                0.21256,                0.17601,                0.06492,                 2.5858,                 6.6396,                 2.6472,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.4592,                 2.7042,                 2.4466,                0.37771,                0.27536,                 0.2793,                0.10704,                 2.2071,                 4.2905,                 2.3828,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.2836,                 2.4758,                 2.3159,                0.41567,                 0.3285,                0.29613,                0.12255,                 2.2729,                 3.5166,                 2.4395,               0.001901,               0.001901,               0.001901
                      7,                 2.2135,                 2.2987,                 2.2119,                0.48194,                0.31159,                0.31894,                0.12536,                 2.2243,                 3.0431,                 2.3686,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.1885,                 2.2618,                 2.2113,                0.35015,                0.38164,                0.26612,                0.09078,                 2.1378,                 3.5055,                 2.3194,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.1094,                 2.1491,                  2.156,                0.66852,                0.37198,                0.42858,                0.19009,                 2.0593,                 2.9832,                  2.252,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.0612,                 2.0516,                 2.1179,                0.59612,                0.48844,                0.50539,                0.24028,                 1.9815,                 2.9889,                 2.1878,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.9958,                 1.9101,                 2.0579,                 0.7625,                0.46529,                0.54796,                0.24894,                 1.8953,                  2.332,                 2.1351,               0.001802,               0.001802,               0.001802
                     12,                 1.9673,                 1.8444,                 2.0291,                0.64746,                0.47585,                0.53817,                0.27953,                 1.8098,                 2.2082,                 2.0719,              0.0017822,              0.0017822,              0.0017822
